cell (0,1);cell (2,1);cell (3,1);cell (4,1);cell (5,1);cell (6,1);cell (7,1);cell (8,1);cell (9,1);cell (10,1);cell (11,1);cell (12,1);cell (13,1);cell (14,1);cell (15,1);cell (16,1);cell (17,1);cell (18,1);cell (19,1);cell (20,1);cell (21,1);cell (22,1);cell (23,1);cell (24,1);cell (25,1);cell (26,1);cell (27,1);cell (28,1);cell (29,1);cell (30,1);cell (31,1);cell (32,1);cell (33,1);cell (34,1);cell (35,1);cell (36,1);cell (37,1);cell (38,1);cell (39,1);cell (40,1);cell (41,1);cell (42,1);cell (43,1);cell (44,1);cell (45,1);cell (46,1);cell (47,1);cell (48,1);cell (49,1);cell (50,1);cell (51,1);cell (52,1);cell (53,1);cell (54,1);cell (55,1);cell (56,1);cell (57,1);cell (58,1);cell (59,1);cell (60,1);cell (61,1);cell (62,1);cell (63,1);cell (64,1);cell (65,1);cell (66,1);cell (67,1);cell (68,1);cell (69,1);cell (70,1);cell (71,1);cell (72,1);cell (73,1);cell (74,1);cell (75,1);cell (76,1);cell (77,1);cell (78,1);cell (79,1);cell (80,1);cell (81,1);cell (82,1);cell (83,1);cell (84,1);cell (85,1);cell (86,1);cell (87,1);cell (88,1);cell (89,1);cell (90,1);cell (91,1);cell (92,1);cell (93,1);cell (94,1);cell (95,1);cell (96,1);cell (97,1);cell (98,1);cell (99,1);cell (100,1)
cell (0,2);cell (2,2);cell (3,2);cell (4,2);cell (5,2);cell (6,2);cell (7,2);cell (8,2);cell (9,2);cell (10,2);cell (11,2);cell (12,2);cell (13,2);cell (14,2);cell (15,2);cell (16,2);cell (17,2);cell (18,2);cell (19,2);cell (20,2);cell (21,2);cell (22,2);cell (23,2);cell (24,2);cell (25,2);cell (26,2);cell (27,2);cell (28,2);cell (29,2);cell (30,2);cell (31,2);cell (32,2);cell (33,2);cell (34,2);cell (35,2);cell (36,2);cell (37,2);cell (38,2);cell (39,2);cell (40,2);cell (41,2);cell (42,2);cell (43,2);cell (44,2);cell (45,2);cell (46,2);cell (47,2);cell (48,2);cell (49,2);cell (50,2);cell (51,2);cell (52,2);cell (53,2);cell (54,2);cell (55,2);cell (56,2);cell (57,2);cell (58,2);cell (59,2);cell (60,2);cell (61,2);cell (62,2);cell (63,2);cell (64,2);cell (65,2);cell (66,2);cell (67,2);cell (68,2);cell (69,2);cell (70,2);cell (71,2);cell (72,2);cell (73,2);cell (74,2);cell (75,2);cell (76,2);cell (77,2);cell (78,2);cell (79,2);cell (80,2);cell (81,2);cell (82,2);cell (83,2);cell (84,2);cell (85,2);cell (86,2);cell (87,2);cell (88,2);cell (89,2);cell (90,2);cell (91,2);cell (92,2);cell (93,2);cell (94,2);cell (95,2);cell (96,2);cell (97,2);cell (98,2);cell (99,2);cell (100,2)
cell (0,3);cell (2,3);cell (3,3);cell (4,3);cell (5,3);cell (6,3);cell (7,3);cell (8,3);cell (9,3);cell (10,3);cell (11,3);cell (12,3);cell (13,3);cell (14,3);cell (15,3);cell (16,3);cell (17,3);cell (18,3);cell (19,3);cell (20,3);cell (21,3);cell (22,3);cell (23,3);cell (24,3);cell (25,3);cell (26,3);cell (27,3);cell (28,3);cell (29,3);cell (30,3);cell (31,3);cell (32,3);cell (33,3);cell (34,3);cell (35,3);cell (36,3);cell (37,3);cell (38,3);cell (39,3);cell (40,3);cell (41,3);cell (42,3);cell (43,3);cell (44,3);cell (45,3);cell (46,3);cell (47,3);cell (48,3);cell (49,3);cell (50,3);cell (51,3);cell (52,3);cell (53,3);cell (54,3);cell (55,3);cell (56,3);cell (57,3);cell (58,3);cell (59,3);cell (60,3);cell (61,3);cell (62,3);cell (63,3);cell (64,3);cell (65,3);cell (66,3);cell (67,3);cell (68,3);cell (69,3);cell (70,3);cell (71,3);cell (72,3);cell (73,3);cell (74,3);cell (75,3);cell (76,3);cell (77,3);cell (78,3);cell (79,3);cell (80,3);cell (81,3);cell (82,3);cell (83,3);cell (84,3);cell (85,3);cell (86,3);cell (87,3);cell (88,3);cell (89,3);cell (90,3);cell (91,3);cell (92,3);cell (93,3);cell (94,3);cell (95,3);cell (96,3);cell (97,3);cell (98,3);cell (99,3);cell (100,3)
cell (0,4);cell (2,4);cell (3,4);cell (4,4);cell (5,4);cell (6,4);cell (7,4);cell (8,4);cell (9,4);cell (10,4);cell (11,4);cell (12,4);cell (13,4);cell (14,4);cell (15,4);cell (16,4);cell (17,4);cell (18,4);cell (19,4);cell (20,4);cell (21,4);cell (22,4);cell (23,4);cell (24,4);cell (25,4);cell (26,4);cell (27,4);cell (28,4);cell (29,4);cell (30,4);cell (31,4);cell (32,4);cell (33,4);cell (34,4);cell (35,4);cell (36,4);cell (37,4);cell (38,4);cell (39,4);cell (40,4);cell (41,4);cell (42,4);cell (43,4);cell (44,4);cell (45,4);cell (46,4);cell (47,4);cell (48,4);cell (49,4);cell (50,4);cell (51,4);cell (52,4);cell (53,4);cell (54,4);cell (55,4);cell (56,4);cell (57,4);cell (58,4);cell (59,4);cell (60,4);cell (61,4);cell (62,4);cell (63,4);cell (64,4);cell (65,4);cell (66,4);cell (67,4);cell (68,4);cell (69,4);cell (70,4);cell (71,4);cell (72,4);cell (73,4);cell (74,4);cell (75,4);cell (76,4);cell (77,4);cell (78,4);cell (79,4);cell (80,4);cell (81,4);cell (82,4);cell (83,4);cell (84,4);cell (85,4);cell (86,4);cell (87,4);cell (88,4);cell (89,4);cell (90,4);cell (91,4);cell (92,4);cell (93,4);cell (94,4);cell (95,4);cell (96,4);cell (97,4);cell (98,4);cell (99,4);cell (100,4)
cell (0,5);cell (2,5);cell (3,5);cell (4,5);cell (5,5);cell (6,5);cell (7,5);cell (8,5);cell (9,5);cell (10,5);cell (11,5);cell (12,5);cell (13,5);cell (14,5);cell (15,5);cell (16,5);cell (17,5);cell (18,5);cell (19,5);cell (20,5);cell (21,5);cell (22,5);cell (23,5);cell (24,5);cell (25,5);cell (26,5);cell (27,5);cell (28,5);cell (29,5);cell (30,5);cell (31,5);cell (32,5);cell (33,5);cell (34,5);cell (35,5);cell (36,5);cell (37,5);cell (38,5);cell (39,5);cell (40,5);cell (41,5);cell (42,5);cell (43,5);cell (44,5);cell (45,5);cell (46,5);cell (47,5);cell (48,5);cell (49,5);cell (50,5);cell (51,5);cell (52,5);cell (53,5);cell (54,5);cell (55,5);cell (56,5);cell (57,5);cell (58,5);cell (59,5);cell (60,5);cell (61,5);cell (62,5);cell (63,5);cell (64,5);cell (65,5);cell (66,5);cell (67,5);cell (68,5);cell (69,5);cell (70,5);cell (71,5);cell (72,5);cell (73,5);cell (74,5);cell (75,5);cell (76,5);cell (77,5);cell (78,5);cell (79,5);cell (80,5);cell (81,5);cell (82,5);cell (83,5);cell (84,5);cell (85,5);cell (86,5);cell (87,5);cell (88,5);cell (89,5);cell (90,5);cell (91,5);cell (92,5);cell (93,5);cell (94,5);cell (95,5);cell (96,5);cell (97,5);cell (98,5);cell (99,5);cell (100,5)
cell (0,6);cell (2,6);cell (3,6);cell (4,6);cell (5,6);cell (6,6);cell (7,6);cell (8,6);cell (9,6);cell (10,6);cell (11,6);cell (12,6);cell (13,6);cell (14,6);cell (15,6);cell (16,6);cell (17,6);cell (18,6);cell (19,6);cell (20,6);cell (21,6);cell (22,6);cell (23,6);cell (24,6);cell (25,6);cell (26,6);cell (27,6);cell (28,6);cell (29,6);cell (30,6);cell (31,6);cell (32,6);cell (33,6);cell (34,6);cell (35,6);cell (36,6);cell (37,6);cell (38,6);cell (39,6);cell (40,6);cell (41,6);cell (42,6);cell (43,6);cell (44,6);cell (45,6);cell (46,6);cell (47,6);cell (48,6);cell (49,6);cell (50,6);cell (51,6);cell (52,6);cell (53,6);cell (54,6);cell (55,6);cell (56,6);cell (57,6);cell (58,6);cell (59,6);cell (60,6);cell (61,6);cell (62,6);cell (63,6);cell (64,6);cell (65,6);cell (66,6);cell (67,6);cell (68,6);cell (69,6);cell (70,6);cell (71,6);cell (72,6);cell (73,6);cell (74,6);cell (75,6);cell (76,6);cell (77,6);cell (78,6);cell (79,6);cell (80,6);cell (81,6);cell (82,6);cell (83,6);cell (84,6);cell (85,6);cell (86,6);cell (87,6);cell (88,6);cell (89,6);cell (90,6);cell (91,6);cell (92,6);cell (93,6);cell (94,6);cell (95,6);cell (96,6);cell (97,6);cell (98,6);cell (99,6);cell (100,6)
cell (0,7);cell (2,7);cell (3,7);cell (4,7);cell (5,7);cell (6,7);cell (7,7);cell (8,7);cell (9,7);cell (10,7);cell (11,7);cell (12,7);cell (13,7);cell (14,7);cell (15,7);cell (16,7);cell (17,7);cell (18,7);cell (19,7);cell (20,7);cell (21,7);cell (22,7);cell (23,7);cell (24,7);cell (25,7);cell (26,7);cell (27,7);cell (28,7);cell (29,7);cell (30,7);cell (31,7);cell (32,7);cell (33,7);cell (34,7);cell (35,7);cell (36,7);cell (37,7);cell (38,7);cell (39,7);cell (40,7);cell (41,7);cell (42,7);cell (43,7);cell (44,7);cell (45,7);cell (46,7);cell (47,7);cell (48,7);cell (49,7);cell (50,7);cell (51,7);cell (52,7);cell (53,7);cell (54,7);cell (55,7);cell (56,7);cell (57,7);cell (58,7);cell (59,7);cell (60,7);cell (61,7);cell (62,7);cell (63,7);cell (64,7);cell (65,7);cell (66,7);cell (67,7);cell (68,7);cell (69,7);cell (70,7);cell (71,7);cell (72,7);cell (73,7);cell (74,7);cell (75,7);cell (76,7);cell (77,7);cell (78,7);cell (79,7);cell (80,7);cell (81,7);cell (82,7);cell (83,7);cell (84,7);cell (85,7);cell (86,7);cell (87,7);cell (88,7);cell (89,7);cell (90,7);cell (91,7);cell (92,7);cell (93,7);cell (94,7);cell (95,7);cell (96,7);cell (97,7);cell (98,7);cell (99,7);cell (100,7)
cell (0,8);cell (2,8);cell (3,8);cell (4,8);cell (5,8);cell (6,8);cell (7,8);cell (8,8);cell (9,8);cell (10,8);cell (11,8);cell (12,8);cell (13,8);cell (14,8);cell (15,8);cell (16,8);cell (17,8);cell (18,8);cell (19,8);cell (20,8);cell (21,8);cell (22,8);cell (23,8);cell (24,8);cell (25,8);cell (26,8);cell (27,8);cell (28,8);cell (29,8);cell (30,8);cell (31,8);cell (32,8);cell (33,8);cell (34,8);cell (35,8);cell (36,8);cell (37,8);cell (38,8);cell (39,8);cell (40,8);cell (41,8);cell (42,8);cell (43,8);cell (44,8);cell (45,8);cell (46,8);cell (47,8);cell (48,8);cell (49,8);cell (50,8);cell (51,8);cell (52,8);cell (53,8);cell (54,8);cell (55,8);cell (56,8);cell (57,8);cell (58,8);cell (59,8);cell (60,8);cell (61,8);cell (62,8);cell (63,8);cell (64,8);cell (65,8);cell (66,8);cell (67,8);cell (68,8);cell (69,8);cell (70,8);cell (71,8);cell (72,8);cell (73,8);cell (74,8);cell (75,8);cell (76,8);cell (77,8);cell (78,8);cell (79,8);cell (80,8);cell (81,8);cell (82,8);cell (83,8);cell (84,8);cell (85,8);cell (86,8);cell (87,8);cell (88,8);cell (89,8);cell (90,8);cell (91,8);cell (92,8);cell (93,8);cell (94,8);cell (95,8);cell (96,8);cell (97,8);cell (98,8);cell (99,8);cell (100,8)
cell (0,9);cell (2,9);cell (3,9);cell (4,9);cell (5,9);cell (6,9);cell (7,9);cell (8,9);cell (9,9);cell (10,9);cell (11,9);cell (12,9);cell (13,9);cell (14,9);cell (15,9);cell (16,9);cell (17,9);cell (18,9);cell (19,9);cell (20,9);cell (21,9);cell (22,9);cell (23,9);cell (24,9);cell (25,9);cell (26,9);cell (27,9);cell (28,9);cell (29,9);cell (30,9);cell (31,9);cell (32,9);cell (33,9);cell (34,9);cell (35,9);cell (36,9);cell (37,9);cell (38,9);cell (39,9);cell (40,9);cell (41,9);cell (42,9);cell (43,9);cell (44,9);cell (45,9);cell (46,9);cell (47,9);cell (48,9);cell (49,9);cell (50,9);cell (51,9);cell (52,9);cell (53,9);cell (54,9);cell (55,9);cell (56,9);cell (57,9);cell (58,9);cell (59,9);cell (60,9);cell (61,9);cell (62,9);cell (63,9);cell (64,9);cell (65,9);cell (66,9);cell (67,9);cell (68,9);cell (69,9);cell (70,9);cell (71,9);cell (72,9);cell (73,9);cell (74,9);cell (75,9);cell (76,9);cell (77,9);cell (78,9);cell (79,9);cell (80,9);cell (81,9);cell (82,9);cell (83,9);cell (84,9);cell (85,9);cell (86,9);cell (87,9);cell (88,9);cell (89,9);cell (90,9);cell (91,9);cell (92,9);cell (93,9);cell (94,9);cell (95,9);cell (96,9);cell (97,9);cell (98,9);cell (99,9);cell (100,9)
cell (0,10);cell (2,10);cell (3,10);cell (4,10);cell (5,10);cell (6,10);cell (7,10);cell (8,10);cell (9,10);cell (10,10);cell (11,10);cell (12,10);cell (13,10);cell (14,10);cell (15,10);cell (16,10);cell (17,10);cell (18,10);cell (19,10);cell (20,10);cell (21,10);cell (22,10);cell (23,10);cell (24,10);cell (25,10);cell (26,10);cell (27,10);cell (28,10);cell (29,10);cell (30,10);cell (31,10);cell (32,10);cell (33,10);cell (34,10);cell (35,10);cell (36,10);cell (37,10);cell (38,10);cell (39,10);cell (40,10);cell (41,10);cell (42,10);cell (43,10);cell (44,10);cell (45,10);cell (46,10);cell (47,10);cell (48,10);cell (49,10);cell (50,10);cell (51,10);cell (52,10);cell (53,10);cell (54,10);cell (55,10);cell (56,10);cell (57,10);cell (58,10);cell (59,10);cell (60,10);cell (61,10);cell (62,10);cell (63,10);cell (64,10);cell (65,10);cell (66,10);cell (67,10);cell (68,10);cell (69,10);cell (70,10);cell (71,10);cell (72,10);cell (73,10);cell (74,10);cell (75,10);cell (76,10);cell (77,10);cell (78,10);cell (79,10);cell (80,10);cell (81,10);cell (82,10);cell (83,10);cell (84,10);cell (85,10);cell (86,10);cell (87,10);cell (88,10);cell (89,10);cell (90,10);cell (91,10);cell (92,10);cell (93,10);cell (94,10);cell (95,10);cell (96,10);cell (97,10);cell (98,10);cell (99,10);cell (100,10)
cell (0,11);cell (2,11);cell (3,11);cell (4,11);cell (5,11);cell (6,11);cell (7,11);cell (8,11);cell (9,11);cell (10,11);cell (11,11);cell (12,11);cell (13,11);cell (14,11);cell (15,11);cell (16,11);cell (17,11);cell (18,11);cell (19,11);cell (20,11);cell (21,11);cell (22,11);cell (23,11);cell (24,11);cell (25,11);cell (26,11);cell (27,11);cell (28,11);cell (29,11);cell (30,11);cell (31,11);cell (32,11);cell (33,11);cell (34,11);cell (35,11);cell (36,11);cell (37,11);cell (38,11);cell (39,11);cell (40,11);cell (41,11);cell (42,11);cell (43,11);cell (44,11);cell (45,11);cell (46,11);cell (47,11);cell (48,11);cell (49,11);cell (50,11);cell (51,11);cell (52,11);cell (53,11);cell (54,11);cell (55,11);cell (56,11);cell (57,11);cell (58,11);cell (59,11);cell (60,11);cell (61,11);cell (62,11);cell (63,11);cell (64,11);cell (65,11);cell (66,11);cell (67,11);cell (68,11);cell (69,11);cell (70,11);cell (71,11);cell (72,11);cell (73,11);cell (74,11);cell (75,11);cell (76,11);cell (77,11);cell (78,11);cell (79,11);cell (80,11);cell (81,11);cell (82,11);cell (83,11);cell (84,11);cell (85,11);cell (86,11);cell (87,11);cell (88,11);cell (89,11);cell (90,11);cell (91,11);cell (92,11);cell (93,11);cell (94,11);cell (95,11);cell (96,11);cell (97,11);cell (98,11);cell (99,11);cell (100,11)
